이촌,신용산,동작
길음,미아사거리,성신여대입구
신당,동대문역사문화공원,상왕십리
종각,시청,종로3가
경복궁,독립문,안국
충무로,동대문역사문화공원,명동,을지로3가,동대입구
까치산,신정네거리,null
신답,용답,용두
수유,쌍문,미아
이대,신촌,아현
덕계,양주,덕정
수서,일원,가락시장
영등포,대방,신길
노량진,용산,대방
양재,남부터미널,매봉
약수,동대입구,금호
잠실나루,강변,잠실
망월사,도봉산,회룡
외대앞,회기,신이문
당정,군포,의왕
보산,동두천중앙,동두천
평택,지제,성환
원당,삼송,화정
신촌,홍대입구,이대
천안,두정,봉명
고속터미널,잠원,교대
홍대입구,합정,신촌
녹번,불광,홍제
뚝섬,한양대,성수
숙대입구,서울역,삼각지
상계,당고개,노원
인천,동인천,null
대야미,수리산,반월
지제,서정리,평택
방학,창동,도봉
제물포,도화,도원
노원,상계,창동
남영,서울역,용산
관악,석수,안양
산본,금정,수리산
녹천,월계,창동
구파발,지축,연신내
미아,수유,미아사거리
오류동,개봉,온수
화정,원당,대곡
학여울,대치,대청
부평,부개,백운
동묘앞,동대문,신설동
구로,신도림,가산디지털단지,구일
의정부,회룡,가능
월계,광운대,녹천
군포,금정,당정
안산,초지,신길온천
선릉,삼성,역삼
중앙,한대앞,고잔
수리산,대야미,산본
왕십리,상왕십리,한양대
역삼,선릉,강남
개봉,구일,오류동
정부과천청사,과천,인덕원
평촌,인덕원,범계
미아사거리,미아,길음
선바위,남태령,경마공원
동두천중앙,지행,보산
오금,경찰병원,null
삼송,지축,원당
가락시장,수서,경찰병원
잠실새내,잠실,종합운동장
석수,금천구청,관악
가산디지털단지,구로,독산
옥수,금호,압구정
부개,부평,송내
봉명,천안,쌍용
역곡,온수,소사
원흥,원당,삼송
동암,백운,주안
온양온천,배방,신창
인덕원,정부과천청사,평촌
주엽,정발산,대화
불광,연신내,녹번
고잔,중앙,초지
봉천,서울대입구,신림
범계,평촌,금정
대림,구로디지털단지,신도림
가능,의정부,녹양
백운,부평,동암
소사,역곡,부천
서울대입구,낙성대,봉천
서울역,회현,숙대입구,남영,시청
서정리,송탄,지제
당산,영등포구청,합정
압구정,옥수,신사
신림,봉천,신대방
남부터미널,교대,양재
일원,대청,수서
서동탄,null,광명
동작,이촌,총신대입구
한양대,왕십리,뚝섬
용두,신답,신설동
회현,명동,서울역
신설동,동묘,제기동,용두
낙성대,사당,서울대입구
온수,오류동,역곡
중동,부천,송내
신용산,삼각지,이촌
오이도,정왕,null
신대방,신림,구로디지털단지
종로5가,종로3가,동대문
정왕,신길온천,오이도
총신대입구,동작,사당
동인천,제물포,인천
도화,주안,제물포
부천,소사,중동
오산,오산대,진위
직산,성환,두정
금정,범계,산본,명학,군포
독립문,무악재,경복궁
백석,대곡,마두
성수,뚝섬,건대입구
쌍용,봉명,아산
창동,노원,쌍문,녹천,방학
금호,약수,옥수
강남,역삼,교대
잠원,신사,고속터미널
송내,중동,부개
종합운동장,잠실새내,삼성
녹양,가능,양주
영등포구청,문래,당산
방배,서초,사당
도봉산,도봉,망월사
경마공원,선바위,대공원
남태령,사당,선바위
과천,대공원,정부과천청사
상록수,반월,한대앞
세류,수원,병점
한성대입구,성신여대입구,혜화
연신내,구파발,불광
안국,경복궁,종로3가
회기,청량리,외대앞
종로3가,안국,을지로3가,종각,종로5가
광운대,석계,월계
대방,노량진,영등포
용산,남영,노량진
신길,대방,영등포
당고개,상계
을지로4가,을지로3가,동대문역사문화공원
대화,주엽
신창,온양온천,null
병점,세류,세마
시청,충정로,을지로입구,서울역,종각
충정로,아현,용답
대치,도곡,학여울
안양,관악,명학
화서,성균관대,수원
아현,이대,충정로
송탄,진위,서정리
동두천,보산,소요산
잠실,잠실나루,잠실새내
강변,구의,잠실나루
석계,신이문,광운대
성환,평택,직산
을지로3가,종로3가,충무로,을지로입구,을지로4가
명학,안양,금정
금천구청,독산,석수
청량리,제기동,회기
동대문,혜화,동대문역사문화공원,종로5가,동묘앞
삼각지,숙대입구,신용산
서초,교대,방배
용답,충정로,신답
홍제,녹번,무악재
덕정,덕계,지행
동대입구,충무로,약수
문래,신도림,영등포구청
구의,건대입구,강변
성균관대,의왕,화서
광명,null,금천구청
구일,개봉,구로
구로디지털단지,신대방,대림
세마,병점,오산대
도곡,매봉,대치
오산대,세마,오산
간석,주안,동암
상왕십리,신당,왕십리
한대앞,상록수,중앙
건대입구,성수,구의
양주,녹양,덕계
도원,동인천,제물포
독산,가산디지털단지,금천구청
도림천,신도,양천구청
마두,백석,정발산
수원,화서,세류
초지,고잔,안산
혜화,한성대입구,동대문
교대,고속터미널,남부터미널,강남,서초
성신여대입구,길음,한성대입구
신도림,영등포,구로,대림,문래
반월,대야미,상록수
매봉,양재,도곡
동대문역사문화공원,동대문,충무로,을지로4가,신당
대청,학여울,일원
제기동,신설동,청량리
소요산,동두천
양천구청,도림천,신정네거리
지축,삼송,구파발
신정네거리,양천구청,까치산
대공원,경마공원,과천
회룡,망월사,의정부
신이문,외대앞,석계
지행,덕정,동두천중앙
쌍문,창동,수유
도봉,방학,도봉산
두정,직산,천안
신사,압구정,잠원
사당,방배,낙성대,총신대입구,남태령
주안,동암,제물포
합정,당산,홍대입구
진위,오산,송탄
을지로입구,시청,을지로3가
명동,충무로,회현
의왕,당정,성균관대
경찰병원,가락시장,오금
무악재,홍제,독립문
삼성,종합운동장,선릉
배방,아산,온양온천
정발산,마두,주엽
신길온천,안산,정왕
아산,쌍용,배방
대곡,화정,백석
